name	type	source	detector	wavelength_nominal	units
M000S00-M003D05-905.0-sum	MISC	M000S00	M003D05	905.0	
M000S00-M003D05-905.0-mean	MISC	M000S00	M003D05	905.0	ps
M000S00-M003D05-905.0-variance	MISC	M000S00	M003D05	905.0	ps^2
M000S00-M005D04-690.0-sum	MISC	M000S00	M005D04	690.0	
M000S00-M005D04-690.0-mean	MISC	M000S00	M005D04	690.0	ps
M000S00-M005D04-690.0-variance	MISC	M000S00	M005D04	690.0	ps^2
M000S00-M005D04-905.0-sum	MISC	M000S00	M005D04	905.0	
M000S00-M005D04-905.0-mean	MISC	M000S00	M005D04	905.0	ps
M000S00-M005D04-905.0-variance	MISC	M000S00	M005D04	905.0	ps^2
M000S01-M000D00-690.0-sum	MISC	M000S01	M000D00	690.0	
M000S01-M000D00-690.0-mean	MISC	M000S01	M000D00	690.0	ps
M000S01-M000D00-690.0-variance	MISC	M000S01	M000D00	690.0	ps^2
M000S01-M000D00-905.0-sum	MISC	M000S01	M000D00	905.0	
M000S01-M000D00-905.0-mean	MISC	M000S01	M000D00	905.0	ps
M000S01-M000D00-905.0-variance	MISC	M000S01	M000D00	905.0	ps^2
M000S01-M000D01-690.0-sum	MISC	M000S01	M000D01	690.0	
M000S01-M000D01-690.0-mean	MISC	M000S01	M000D01	690.0	ps
M000S01-M000D01-690.0-variance	MISC	M000S01	M000D01	690.0	ps^2
M000S01-M000D01-905.0-sum	MISC	M000S01	M000D01	905.0	
M000S01-M000D01-905.0-mean	MISC	M000S01	M000D01	905.0	ps
M000S01-M000D01-905.0-variance	MISC	M000S01	M000D01	905.0	ps^2
M000S01-M000D02-690.0-sum	MISC	M000S01	M000D02	690.0	
M000S01-M000D02-690.0-mean	MISC	M000S01	M000D02	690.0	ps
M000S01-M000D02-690.0-variance	MISC	M000S01	M000D02	690.0	ps^2
M000S01-M000D02-905.0-sum	MISC	M000S01	M000D02	905.0	
M000S01-M000D02-905.0-mean	MISC	M000S01	M000D02	905.0	ps
M000S01-M000D02-905.0-variance	MISC	M000S01	M000D02	905.0	ps^2
M000S01-M000D03-690.0-sum	MISC	M000S01	M000D03	690.0	
M000S01-M000D03-690.0-mean	MISC	M000S01	M000D03	690.0	ps
M000S01-M000D03-690.0-variance	MISC	M000S01	M000D03	690.0	ps^2
M000S01-M000D03-905.0-sum	MISC	M000S01	M000D03	905.0	
M000S01-M000D03-905.0-mean	MISC	M000S01	M000D03	905.0	ps
M000S01-M000D03-905.0-variance	MISC	M000S01	M000D03	905.0	ps^2
M000S01-M000D04-690.0-sum	MISC	M000S01	M000D04	690.0	
M000S01-M000D04-690.0-mean	MISC	M000S01	M000D04	690.0	ps
M000S01-M000D04-690.0-variance	MISC	M000S01	M000D04	690.0	ps^2
M000S01-M000D04-905.0-sum	MISC	M000S01	M000D04	905.0	
M000S01-M000D04-905.0-mean	MISC	M000S01	M000D04	905.0	ps
M000S01-M000D04-905.0-variance	MISC	M000S01	M000D04	905.0	ps^2
M000S01-M000D05-690.0-sum	MISC	M000S01	M000D05	690.0	
M000S01-M000D05-690.0-mean	MISC	M000S01	M000D05	690.0	ps
M000S01-M000D05-690.0-variance	MISC	M000S01	M000D05	690.0	ps^2
M000S01-M000D05-905.0-sum	MISC	M000S01	M000D05	905.0	
M000S01-M000D05-905.0-mean	MISC	M000S01	M000D05	905.0	ps
M000S01-M000D05-905.0-variance	MISC	M000S01	M000D05	905.0	ps^2
M000S01-M001D00-690.0-sum	MISC	M000S01	M001D00	690.0	
M000S01-M001D00-690.0-mean	MISC	M000S01	M001D00	690.0	ps
M000S01-M001D00-690.0-variance	MISC	M000S01	M001D00	690.0	ps^2
M000S01-M001D00-905.0-sum	MISC	M000S01	M001D00	905.0	
M000S01-M001D00-905.0-mean	MISC	M000S01	M001D00	905.0	ps
M000S01-M001D00-905.0-variance	MISC	M000S01	M001D00	905.0	ps^2
M000S01-M001D02-690.0-sum	MISC	M000S01	M001D02	690.0	
M000S01-M001D02-690.0-mean	MISC	M000S01	M001D02	690.0	ps
M000S01-M001D02-690.0-variance	MISC	M000S01	M001D02	690.0	ps^2
M000S01-M001D02-905.0-sum	MISC	M000S01	M001D02	905.0	
M000S01-M001D02-905.0-mean	MISC	M000S01	M001D02	905.0	ps
M000S01-M001D02-905.0-variance	MISC	M000S01	M001D02	905.0	ps^2
M000S01-M001D03-690.0-sum	MISC	M000S01	M001D03	690.0	
M000S01-M001D03-690.0-mean	MISC	M000S01	M001D03	690.0	ps
M000S01-M001D03-690.0-variance	MISC	M000S01	M001D03	690.0	ps^2
M000S01-M001D03-905.0-sum	MISC	M000S01	M001D03	905.0	
M000S01-M001D03-905.0-mean	MISC	M000S01	M001D03	905.0	ps
M000S01-M001D03-905.0-variance	MISC	M000S01	M001D03	905.0	ps^2
M000S01-M001D04-690.0-sum	MISC	M000S01	M001D04	690.0	
M000S01-M001D04-690.0-mean	MISC	M000S01	M001D04	690.0	ps
M000S01-M001D04-690.0-variance	MISC	M000S01	M001D04	690.0	ps^2
M000S01-M001D04-905.0-sum	MISC	M000S01	M001D04	905.0	
M000S01-M001D04-905.0-mean	MISC	M000S01	M001D04	905.0	ps
M000S01-M001D04-905.0-variance	MISC	M000S01	M001D04	905.0	ps^2
M000S01-M001D05-690.0-sum	MISC	M000S01	M001D05	690.0	
M000S01-M001D05-690.0-mean	MISC	M000S01	M001D05	690.0	ps
M000S01-M001D05-690.0-variance	MISC	M000S01	M001D05	690.0	ps^2
M000S01-M001D05-905.0-sum	MISC	M000S01	M001D05	905.0	
M000S01-M001D05-905.0-mean	MISC	M000S01	M001D05	905.0	ps
M000S01-M001D05-905.0-variance	MISC	M000S01	M001D05	905.0	ps^2
M000S01-M002D02-690.0-sum	MISC	M000S01	M002D02	690.0	
M000S01-M002D02-690.0-mean	MISC	M000S01	M002D02	690.0	ps
M000S01-M002D02-690.0-variance	MISC	M000S01	M002D02	690.0	ps^2
M000S01-M002D02-905.0-sum	MISC	M000S01	M002D02	905.0	
M000S01-M002D02-905.0-mean	MISC	M000S01	M002D02	905.0	ps
M000S01-M002D02-905.0-variance	MISC	M000S01	M002D02	905.0	ps^2
M000S01-M002D03-690.0-sum	MISC	M000S01	M002D03	690.0	
M000S01-M002D03-690.0-mean	MISC	M000S01	M002D03	690.0	ps
M000S01-M002D03-690.0-variance	MISC	M000S01	M002D03	690.0	ps^2
M000S01-M002D03-905.0-sum	MISC	M000S01	M002D03	905.0	
M000S01-M002D03-905.0-mean	MISC	M000S01	M002D03	905.0	ps
M000S01-M002D03-905.0-variance	MISC	M000S01	M002D03	905.0	ps^2
M000S01-M002D04-690.0-sum	MISC	M000S01	M002D04	690.0	
M000S01-M002D04-690.0-mean	MISC	M000S01	M002D04	690.0	ps
M000S01-M002D04-690.0-variance	MISC	M000S01	M002D04	690.0	ps^2
M000S01-M002D04-905.0-sum	MISC	M000S01	M002D04	905.0	
M000S01-M002D04-905.0-mean	MISC	M000S01	M002D04	905.0	ps
M000S01-M002D04-905.0-variance	MISC	M000S01	M002D04	905.0	ps^2
M000S01-M002D05-690.0-sum	MISC	M000S01	M002D05	690.0	
M000S01-M002D05-690.0-mean	MISC	M000S01	M002D05	690.0	ps
M000S01-M002D05-690.0-variance	MISC	M000S01	M002D05	690.0	ps^2
M000S01-M002D05-905.0-sum	MISC	M000S01	M002D05	905.0	
M000S01-M002D05-905.0-mean	MISC	M000S01	M002D05	905.0	ps
M000S01-M002D05-905.0-variance	MISC	M000S01	M002D05	905.0	ps^2
M000S01-M003D00-690.0-sum	MISC	M000S01	M003D00	690.0	
M000S01-M003D00-690.0-mean	MISC	M000S01	M003D00	690.0	ps
M000S01-M003D00-690.0-variance	MISC	M000S01	M003D00	690.0	ps^2
M000S01-M003D00-905.0-sum	MISC	M000S01	M003D00	905.0	
M000S01-M003D00-905.0-mean	MISC	M000S01	M003D00	905.0	ps
M000S01-M003D00-905.0-variance	MISC	M000S01	M003D00	905.0	ps^2
M000S01-M003D01-690.0-sum	MISC	M000S01	M003D01	690.0	
M000S01-M003D01-690.0-mean	MISC	M000S01	M003D01	690.0	ps
M000S01-M003D01-690.0-variance	MISC	M000S01	M003D01	690.0	ps^2
M000S01-M003D01-905.0-sum	MISC	M000S01	M003D01	905.0	
M000S01-M003D01-905.0-mean	MISC	M000S01	M003D01	905.0	ps
M000S01-M003D01-905.0-variance	MISC	M000S01	M003D01	905.0	ps^2
M000S01-M003D02-690.0-sum	MISC	M000S01	M003D02	690.0	
M000S01-M003D02-690.0-mean	MISC	M000S01	M003D02	690.0	ps
M000S01-M003D02-690.0-variance	MISC	M000S01	M003D02	690.0	ps^2
M000S01-M003D02-905.0-sum	MISC	M000S01	M003D02	905.0	
M000S01-M003D02-905.0-mean	MISC	M000S01	M003D02	905.0	ps
M000S01-M003D02-905.0-variance	MISC	M000S01	M003D02	905.0	ps^2
M000S01-M003D03-690.0-sum	MISC	M000S01	M003D03	690.0	
M000S01-M003D03-690.0-mean	MISC	M000S01	M003D03	690.0	ps
M000S01-M003D03-690.0-variance	MISC	M000S01	M003D03	690.0	ps^2
M000S01-M003D03-905.0-sum	MISC	M000S01	M003D03	905.0	
M000S01-M003D03-905.0-mean	MISC	M000S01	M003D03	905.0	ps
M000S01-M003D03-905.0-variance	MISC	M000S01	M003D03	905.0	ps^2
M000S01-M004D01-690.0-sum	MISC	M000S01	M004D01	690.0	
M000S01-M004D01-690.0-mean	MISC	M000S01	M004D01	690.0	ps
M000S01-M004D01-690.0-variance	MISC	M000S01	M004D01	690.0	ps^2
M000S01-M004D01-905.0-sum	MISC	M000S01	M004D01	905.0	
M000S01-M004D01-905.0-mean	MISC	M000S01	M004D01	905.0	ps
M000S01-M004D01-905.0-variance	MISC	M000S01	M004D01	905.0	ps^2
M000S01-M005D04-690.0-sum	MISC	M000S01	M005D04	690.0	
M000S01-M005D04-690.0-mean	MISC	M000S01	M005D04	690.0	ps
M000S01-M005D04-690.0-variance	MISC	M000S01	M005D04	690.0	ps^2
M000S01-M005D04-905.0-sum	MISC	M000S01	M005D04	905.0	
M000S01-M005D04-905.0-mean	MISC	M000S01	M005D04	905.0	ps
M000S01-M005D04-905.0-variance	MISC	M000S01	M005D04	905.0	ps^2
M000S02-M000D00-690.0-sum	MISC	M000S02	M000D00	690.0	
M000S02-M000D00-690.0-mean	MISC	M000S02	M000D00	690.0	ps
M000S02-M000D00-690.0-variance	MISC	M000S02	M000D00	690.0	ps^2
M000S02-M000D00-905.0-sum	MISC	M000S02	M000D00	905.0	
M000S02-M000D00-905.0-mean	MISC	M000S02	M000D00	905.0	ps
M000S02-M000D00-905.0-variance	MISC	M000S02	M000D00	905.0	ps^2
M000S02-M000D01-690.0-sum	MISC	M000S02	M000D01	690.0	
M000S02-M000D01-690.0-mean	MISC	M000S02	M000D01	690.0	ps
M000S02-M000D01-690.0-variance	MISC	M000S02	M000D01	690.0	ps^2
M000S02-M000D01-905.0-sum	MISC	M000S02	M000D01	905.0	
M000S02-M000D01-905.0-mean	MISC	M000S02	M000D01	905.0	ps
M000S02-M000D01-905.0-variance	MISC	M000S02	M000D01	905.0	ps^2
M000S02-M000D02-690.0-sum	MISC	M000S02	M000D02	690.0	
M000S02-M000D02-690.0-mean	MISC	M000S02	M000D02	690.0	ps
M000S02-M000D02-690.0-variance	MISC	M000S02	M000D02	690.0	ps^2
M000S02-M000D02-905.0-sum	MISC	M000S02	M000D02	905.0	
M000S02-M000D02-905.0-mean	MISC	M000S02	M000D02	905.0	ps
M000S02-M000D02-905.0-variance	MISC	M000S02	M000D02	905.0	ps^2
M000S02-M000D03-690.0-sum	MISC	M000S02	M000D03	690.0	
M000S02-M000D03-690.0-mean	MISC	M000S02	M000D03	690.0	ps
M000S02-M000D03-690.0-variance	MISC	M000S02	M000D03	690.0	ps^2
M000S02-M000D03-905.0-sum	MISC	M000S02	M000D03	905.0	
M000S02-M000D03-905.0-mean	MISC	M000S02	M000D03	905.0	ps
M000S02-M000D03-905.0-variance	MISC	M000S02	M000D03	905.0	ps^2
M000S02-M000D04-690.0-sum	MISC	M000S02	M000D04	690.0	
M000S02-M000D04-690.0-mean	MISC	M000S02	M000D04	690.0	ps
M000S02-M000D04-690.0-variance	MISC	M000S02	M000D04	690.0	ps^2
M000S02-M000D04-905.0-sum	MISC	M000S02	M000D04	905.0	
M000S02-M000D04-905.0-mean	MISC	M000S02	M000D04	905.0	ps
M000S02-M000D04-905.0-variance	MISC	M000S02	M000D04	905.0	ps^2
M000S02-M000D05-690.0-sum	MISC	M000S02	M000D05	690.0	
M000S02-M000D05-690.0-mean	MISC	M000S02	M000D05	690.0	ps
M000S02-M000D05-690.0-variance	MISC	M000S02	M000D05	690.0	ps^2
M000S02-M000D05-905.0-sum	MISC	M000S02	M000D05	905.0	
M000S02-M000D05-905.0-mean	MISC	M000S02	M000D05	905.0	ps
M000S02-M000D05-905.0-variance	MISC	M000S02	M000D05	905.0	ps^2
M000S02-M001D04-690.0-sum	MISC	M000S02	M001D04	690.0	
M000S02-M001D04-690.0-mean	MISC	M000S02	M001D04	690.0	ps
M000S02-M001D04-690.0-variance	MISC	M000S02	M001D04	690.0	ps^2
M000S02-M001D04-905.0-sum	MISC	M000S02	M001D04	905.0	
M000S02-M001D04-905.0-mean	MISC	M000S02	M001D04	905.0	ps
M000S02-M001D04-905.0-variance	MISC	M000S02	M001D04	905.0	ps^2
M000S02-M001D05-690.0-sum	MISC	M000S02	M001D05	690.0	
M000S02-M001D05-690.0-mean	MISC	M000S02	M001D05	690.0	ps
M000S02-M001D05-690.0-variance	MISC	M000S02	M001D05	690.0	ps^2
M000S02-M001D05-905.0-sum	MISC	M000S02	M001D05	905.0	
M000S02-M001D05-905.0-mean	MISC	M000S02	M001D05	905.0	ps
M000S02-M001D05-905.0-variance	MISC	M000S02	M001D05	905.0	ps^2
M000S02-M002D01-690.0-sum	MISC	M000S02	M002D01	690.0	
M000S02-M002D01-690.0-mean	MISC	M000S02	M002D01	690.0	ps
M000S02-M002D01-690.0-variance	MISC	M000S02	M002D01	690.0	ps^2
M000S02-M002D01-905.0-sum	MISC	M000S02	M002D01	905.0	
M000S02-M002D01-905.0-mean	MISC	M000S02	M002D01	905.0	ps
M000S02-M002D01-905.0-variance	MISC	M000S02	M002D01	905.0	ps^2
M000S02-M002D02-690.0-sum	MISC	M000S02	M002D02	690.0	
M000S02-M002D02-690.0-mean	MISC	M000S02	M002D02	690.0	ps
M000S02-M002D02-690.0-variance	MISC	M000S02	M002D02	690.0	ps^2
M000S02-M002D02-905.0-sum	MISC	M000S02	M002D02	905.0	
M000S02-M002D02-905.0-mean	MISC	M000S02	M002D02	905.0	ps
M000S02-M002D02-905.0-variance	MISC	M000S02	M002D02	905.0	ps^2
M000S02-M002D03-690.0-sum	MISC	M000S02	M002D03	690.0	
M000S02-M002D03-690.0-mean	MISC	M000S02	M002D03	690.0	ps
M000S02-M002D03-690.0-variance	MISC	M000S02	M002D03	690.0	ps^2
M000S02-M002D03-905.0-sum	MISC	M000S02	M002D03	905.0	
M000S02-M002D03-905.0-mean	MISC	M000S02	M002D03	905.0	ps
M000S02-M002D03-905.0-variance	MISC	M000S02	M002D03	905.0	ps^2
M000S02-M002D04-690.0-sum	MISC	M000S02	M002D04	690.0	
M000S02-M002D04-690.0-mean	MISC	M000S02	M002D04	690.0	ps
M000S02-M002D04-690.0-variance	MISC	M000S02	M002D04	690.0	ps^2
M000S02-M002D04-905.0-sum	MISC	M000S02	M002D04	905.0	
M000S02-M002D04-905.0-mean	MISC	M000S02	M002D04	905.0	ps
M000S02-M002D04-905.0-variance	MISC	M000S02	M002D04	905.0	ps^2
M000S02-M003D02-690.0-sum	MISC	M000S02	M003D02	690.0	
M000S02-M003D02-690.0-mean	MISC	M000S02	M003D02	690.0	ps
M000S02-M003D02-690.0-variance	MISC	M000S02	M003D02	690.0	ps^2
M000S02-M003D02-905.0-sum	MISC	M000S02	M003D02	905.0	
M000S02-M003D02-905.0-mean	MISC	M000S02	M003D02	905.0	ps
M000S02-M003D02-905.0-variance	MISC	M000S02	M003D02	905.0	ps^2
M000S02-M003D03-690.0-sum	MISC	M000S02	M003D03	690.0	
M000S02-M003D03-690.0-mean	MISC	M000S02	M003D03	690.0	ps
M000S02-M003D03-690.0-variance	MISC	M000S02	M003D03	690.0	ps^2
M000S02-M003D03-905.0-sum	MISC	M000S02	M003D03	905.0	
M000S02-M003D03-905.0-mean	MISC	M000S02	M003D03	905.0	ps
M000S02-M003D03-905.0-variance	MISC	M000S02	M003D03	905.0	ps^2
M001S00-M000D00-690.0-sum	MISC	M001S00	M000D00	690.0	
M001S00-M000D00-690.0-mean	MISC	M001S00	M000D00	690.0	ps
M001S00-M000D00-690.0-variance	MISC	M001S00	M000D00	690.0	ps^2
M001S00-M000D00-905.0-sum	MISC	M001S00	M000D00	905.0	
M001S00-M000D00-905.0-mean	MISC	M001S00	M000D00	905.0	ps
M001S00-M000D00-905.0-variance	MISC	M001S00	M000D00	905.0	ps^2
M001S00-M000D01-690.0-sum	MISC	M001S00	M000D01	690.0	
M001S00-M000D01-690.0-mean	MISC	M001S00	M000D01	690.0	ps
M001S00-M000D01-690.0-variance	MISC	M001S00	M000D01	690.0	ps^2
M001S00-M000D01-905.0-sum	MISC	M001S00	M000D01	905.0	
M001S00-M000D01-905.0-mean	MISC	M001S00	M000D01	905.0	ps
M001S00-M000D01-905.0-variance	MISC	M001S00	M000D01	905.0	ps^2
M001S00-M000D02-690.0-sum	MISC	M001S00	M000D02	690.0	
M001S00-M000D02-690.0-mean	MISC	M001S00	M000D02	690.0	ps
M001S00-M000D02-690.0-variance	MISC	M001S00	M000D02	690.0	ps^2
M001S00-M000D02-905.0-sum	MISC	M001S00	M000D02	905.0	
M001S00-M000D02-905.0-mean	MISC	M001S00	M000D02	905.0	ps
M001S00-M000D02-905.0-variance	MISC	M001S00	M000D02	905.0	ps^2
M001S00-M000D03-690.0-sum	MISC	M001S00	M000D03	690.0	
M001S00-M000D03-690.0-mean	MISC	M001S00	M000D03	690.0	ps
M001S00-M000D03-690.0-variance	MISC	M001S00	M000D03	690.0	ps^2
M001S00-M000D03-905.0-sum	MISC	M001S00	M000D03	905.0	
M001S00-M000D03-905.0-mean	MISC	M001S00	M000D03	905.0	ps
M001S00-M000D03-905.0-variance	MISC	M001S00	M000D03	905.0	ps^2
M001S00-M000D05-690.0-sum	MISC	M001S00	M000D05	690.0	
M001S00-M000D05-690.0-mean	MISC	M001S00	M000D05	690.0	ps
M001S00-M000D05-690.0-variance	MISC	M001S00	M000D05	690.0	ps^2
M001S00-M000D05-905.0-sum	MISC	M001S00	M000D05	905.0	
M001S00-M000D05-905.0-mean	MISC	M001S00	M000D05	905.0	ps
M001S00-M000D05-905.0-variance	MISC	M001S00	M000D05	905.0	ps^2
M001S00-M001D00-690.0-sum	MISC	M001S00	M001D00	690.0	
M001S00-M001D00-690.0-mean	MISC	M001S00	M001D00	690.0	ps
M001S00-M001D00-690.0-variance	MISC	M001S00	M001D00	690.0	ps^2
M001S00-M001D00-905.0-sum	MISC	M001S00	M001D00	905.0	
M001S00-M001D00-905.0-mean	MISC	M001S00	M001D00	905.0	ps
M001S00-M001D00-905.0-variance	MISC	M001S00	M001D00	905.0	ps^2
M001S00-M001D01-690.0-sum	MISC	M001S00	M001D01	690.0	
M001S00-M001D01-690.0-mean	MISC	M001S00	M001D01	690.0	ps
M001S00-M001D01-690.0-variance	MISC	M001S00	M001D01	690.0	ps^2
M001S00-M001D01-905.0-sum	MISC	M001S00	M001D01	905.0	
M001S00-M001D01-905.0-mean	MISC	M001S00	M001D01	905.0	ps
M001S00-M001D01-905.0-variance	MISC	M001S00	M001D01	905.0	ps^2
M001S00-M001D02-690.0-sum	MISC	M001S00	M001D02	690.0	
M001S00-M001D02-690.0-mean	MISC	M001S00	M001D02	690.0	ps
M001S00-M001D02-690.0-variance	MISC	M001S00	M001D02	690.0	ps^2
M001S00-M001D02-905.0-sum	MISC	M001S00	M001D02	905.0	
M001S00-M001D02-905.0-mean	MISC	M001S00	M001D02	905.0	ps
M001S00-M001D02-905.0-variance	MISC	M001S00	M001D02	905.0	ps^2
M001S00-M001D03-690.0-sum	MISC	M001S00	M001D03	690.0	
M001S00-M001D03-690.0-mean	MISC	M001S00	M001D03	690.0	ps
M001S00-M001D03-690.0-variance	MISC	M001S00	M001D03	690.0	ps^2
M001S00-M001D03-905.0-sum	MISC	M001S00	M001D03	905.0	
M001S00-M001D03-905.0-mean	MISC	M001S00	M001D03	905.0	ps
M001S00-M001D03-905.0-variance	MISC	M001S00	M001D03	905.0	ps^2
M001S00-M001D04-690.0-sum	MISC	M001S00	M001D04	690.0	
